event_id,event_group_id,event_name,event_date,event_type,programme_type,location_id,lead_educator_id,delivery_language,audience_type,delivery_format,demonstration_type,registration_required,registered_count,attended_count,engaged_people_count,engaged_boats_count,session_duration_minutes,satisfaction_score,engagement_level,challenge_category,improvement_category,weather_condition,data_source,is_estimated,event_status
EVT001,GRP001,DPA Orientation - Day 1,2026-02-11,Training,Ambassador Training,LOC001,EDU001,English,Water Safety Ambassadors,Training Workshop,Lifejacket,true,10,10,10,,240,4.8,High,New Programme Familiarity,More Practical Practice,,Reflection+Synthetic,true,Completed
EVT002,GRP001,DPA Orientation - Day 2,2026-02-19,Training,Ambassador Training,LOC001,EDU005,English,Water Safety Ambassadors,Training Workshop,Bystander Rescue,true,10,9,9,,240,4.7,High,Information Volume,Scenario-based Practice,,Reflection+Synthetic,true,Completed
EVT003,GRP002,Lunar New Year Community Event,2026-02-14,Festival,Water Safety Awareness,LOC002,EDU001,English/Chinese,Multicultural Families,Stall Engagement,Lifejacket,false,,,145,,420,,High,High Visitor Flow,Shorter Key Messages,Clear,Reflection+Synthetic,true,Completed
EVT004,GRP003,Henderson Heroes Community Event,2026-02-21,Community Event,Water Safety Awareness,LOC003,EDU003,English,Families and Children,Stall Engagement,Lifejacket,false,,,82,,300,,High,Competing Activities,More Interactive Demonstrations,Partly Cloudy,Reflection+Synthetic,true,Completed
EVT005,GRP004,University Orientation,2026-02-23,University Event,Water Safety Awareness,LOC004,EDU001,English,University Students,Stall Engagement,Lifejacket,false,,,118,,300,,High,Brief Student Interactions,Student-focused Safety Examples,,Reflection+Synthetic,true,Completed
EVT006,GRP005,University Service Expo,2026-02-27,Expo,Water Safety Awareness,LOC005,EDU004,English,University Students,Stall Engagement,None,false,,,96,,240,,Medium,Limited Setup Time,Clearer Display Materials,,Reflection+Synthetic,true,Completed
EVT007,GRP006,BWS Training and Engagement,2026-03-06,Training,Be Water Safe,LOC001,EDU005,English,Water Safety Ambassadors,Training Workshop,Mixed Water Safety,true,16,15,15,,300,4.8,High,Balancing Theory and Practice,More Practice Stations,,Reflection+Synthetic,true,Completed
EVT008,GRP007,Tainui Community Festival,2026-03-07,Festival,Water Safety Awareness,LOC006,EDU005,English/Te Reo Maori,Whanau and Families,Stall Engagement,Lifejacket,false,,,132,,360,,High,High Visitor Flow,More Te Reo Resources,Clear,Reflection+Synthetic,true,Completed
EVT009,GRP008,Ramadan Night Market,2026-03-14,Festival,Water Safety Awareness,LOC007,EDU003,English/Multilingual,Multicultural Families,Stall Engagement,Lifejacket,false,,,104,,300,,High,Noise and Crowd Distraction,Short Visual Messages,Clear,Reflection+Synthetic,true,Completed
EVT010,GRP009,Waitakere Holi Mela,2026-03-15,Festival,Water Safety Awareness,LOC008,EDU003,English/Hindi,Families and Children,Stall Engagement,Lifejacket,false,,,156,,420,,High,Crowded Environment,More Family Activities,Clear,Reflection+Synthetic,true,Completed
